9110 23683
42 43 88.53
43 6609 57.76
43 4241 47.42
43 44 54.50
43 42 88.53
44 43 54.50
44 8530 236.30
45 5483 82.19
46 2052 155.83
46 3446 186.00
46 1166 151.89
47 7132 39.26
47 7149 88.32
48 5303 55.85
48 5428 40.74
48 4273 86.37
49 5429 103.70
49 5304 129.08
49 495 182.52
50 307 84.98
50 7936 477.91
50 4899 143.13
51 5216 127.92
51 7587 47.64
51 1129 167.61
52 2181 23.52
52 53 91.46
52 4447 95.49
53 1276 61.93
53 52 91.46
53 155 167.03
54 3319 175.26
54 2539 158.19
54 1572 148.50
55 3507 122.14
56 3912 125.19
57 658 278.66
58 293 194.98
59 656 82.60
60 6773 118.83
60 7188 62.61
60 6822 293.77
60 6770 227.00
61 2184 78.66
62 865 97.00
62 1442 192.06
62 1440 76.36
62 7986 223.72
63 7018 374.87
63 7012 2014.07
64 2026 42.31
65 2030 319.72
65 5597 98.90
65 2372 86.25
66 2250 41.16
67 1939 148.52
67 7553 125.53
68 3378 36.18
68 4470 38.51
68 5078 186.03
68 8015 28.84
69 70 89.18
69 770 97.28
69 2057 146.98
69 4679 66.03
70 5927 91.86
70 69 89.18
70 2056 132.70
71 8072 80.72
72 7840 106.16
73 5724 127.19
73 3484 73.56
73 5775 55.16
74 6874 261.09
74 8537 103.61
75 5645 41.79
75 7872 45.25
76 3025 33.44
77 4138 31.33
77 274 325.82
77 8703 219.81
78 6223 140.73
79 7449 22.23
79 4355 123.08
79 8271 106.01
80 7632 20.03
80 7628 15.86
80 1260 18.32
80 7626 24.57
81 7619 59.13
81 8332 181.02
81 6580 213.38
81 3919 39.83
82 8395 11.73
82 8394 88.32
82 8398 845.10
83 1513 72.56
84 6451 100.21
85 6042 38.28
85 964 84.28
85 5654 117.77
86 6037 72.74
86 6038 48.83
86 974 182.15
86 973 67.86
87 3979 63.11
87 7768 56.70
87 2207 168.05
88 2772 281.61
88 141 232.27
88 8782 261.18
88 4653 167.29
89 303 103.95
90 5361 94.63
90 8030 76.68
90 3167 163.82
91 6596 40.29
91 1399 53.41
91 5541 86.31
92 4182 42.39
93 3644 125.17
93 94 24.57
93 1485 84.70
94 93 24.57
95 894 97.25
95 1779 258.20
95 8011 36.29
95 895 125.00
96 5991 68.35
96 8657 94.27
96 5589 189.56
97 4301 143.57
98 8996 19.80
98 8997 30.55
98 7240 176.11
99 7951 3118.20
99 8386 215.82
99 7286 142.58
100 5403 58.69
101 1294 93.91
101 1293 102.39
101 2058 120.19
102 8300 10.69
102 103 53.74
102 7259 330.08
103 102 53.74
103 129 79.99
104 105 556.38
104 7613 8.41
105 104 556.38
106 1157 20.92
106 5048 112.06
106 5265 57.54
107 7551 15.60
107 5596 81.83
107 108 43.65
108 107 43.65
109 4080 280.73
110 1518 18.42
111 879 77.28
111 878 135.05
111 5215 71.76
112 2895 88.79
112 6367 54.41
112 2307 167.90
113 2700 48.05
113 7419 321.42
113 7421 290.19
114 5879 120.34
114 38 81.87
114 6074 160.30
115 3243 31.58
115 7652 221.43
115 7075 83.42
115 730 31.63
116 1565 259.63
117 1086 79.39
117 8062 311.20
117 4564 78.41
117 2422 79.31
118 7671 72.15
118 7671 72.15
118 9089 183.05
119 7520 310.61
120 2333 269.64
120 2334 262.06
120 6103 107.07
121 230 91.84
121 1349 108.48
121 4345 114.49
122 6166 53.91
123 2891 47.49
124 2501 57.27
124 2278 136.40
125 6748 3.54
125 765 90.38
126 3320 76.67
127 5493 141.67
129 103 79.99
129 8590 206.30
129 8593 106.03
130 5636 45.40
130 5219 95.39
130 1154 207.97
131 1442 45.93
132 6656 46.30
132 1865 140.70
132 5328 36.52
133 8401 70.33
134 1398 56.53
135 136 146.44
135 5209 37.56
135 2609 86.93
136 135 146.44
137 9052 290.94
138 6622 109.21
139 8838 51.71
139 6430 77.29
139 7412 25.31
139 7411 63.99
140 5184 99.68
141 689 339.99
141 88 232.27
141 222 49.44
141 6590 65.11
142 327 142.77
142 326 186.21
142 143 77.31
143 4179 190.93
143 142 77.31
143 4201 76.54
144 4516 35.51
144 144 0.00
144 144 0.00
145 8675 374.74
145 8679 608.71
146 5663 124.32
146 4976 343.82
146 8376 72.02
147 148 46.17
147 8963 64.12
147 1728 113.50
148 147 46.17
148 1728 101.54
148 7688 8.15
149 8537 147.70
149 478 47.58
150 7596 143.16
150 4954 169.32
150 8534 32.35
151 7285 49.25
151 2981 51.20
152 788 159.96
153 6197 172.11
153 7930 275.32
153 3281 89.27
154 3778 262.87
154 8617 576.16
155 53 167.03
155 9074 43.82
156 4787 112.43
156 157 38.92
156 3671 75.84
156 8668 34.02
157 156 38.92
158 8427 44.98
158 3488 168.17
158 2607 446.43
159 6557 219.94
160 6116 53.71
160 999 201.49
161 5817 193.09
162 1152 54.83
163 276 17.49
163 1445 54.17
163 6962 28.76
164 6962 11.02
164 5160 73.15
165 166 41.35
165 3302 95.91
165 7120 232.79
166 165 41.35
166 1864 196.19
166 5328 81.18
167 4639 112.13
167 4372 105.23
167 4902 50.41
168 782 40.54
169 9060 47.82
169 591 88.14
170 170 0.00
170 170 0.00
170 27 118.98
171 6448 51.29
171 4641 196.25
171 5881 437.73
172 4633 156.63
173 302 115.69
174 175 29.49
174 8314 40.88
174 8313 50.31
175 174 29.49
176 177 52.77
177 8971 178.57
177 8313 80.94
177 176 52.77
178 179 152.72
178 290 355.46
178 404 86.21
179 1183 17.60
179 5904 146.04
179 178 152.72
180 3402 159.52
181 7552 2.11
181 6044 80.59
181 6987 111.00
182 2515 84.96
183 8292 72.95
183 8337 85.34
184 4220 42.81
185 5442 69.70
185 5327 67.79
186 8911 73.15
186 5459 76.01
186 4191 249.25
187 1275 138.31
188 7245 76.63
188 7053 50.45
189 7273 495.96
190 8249 132.83
190 8893 322.77
190 3480 51.32
191 5872 43.00
191 5873 229.84
191 6622 104.55
192 8988 137.55
192 5098 109.73
192 1867 211.91
193 5715 170.20
194 3309 22.14
195 1752 43.71
196 8250 58.45
197 5177 118.36
197 5509 155.98
197 6339 47.81
198 2674 198.93
199 3870 189.93
199 5720 210.97
199 8316 197.24
200 6500 59.33
201 908 38.95
202 203 30.05
202 205 410.74
202 1565 85.83
203 202 30.05
204 5628 770.61
204 2224 245.03
204 7386 13.20
205 202 410.74
205 8062 128.74
205 7807 82.38
206 6526 359.77
207 3835 33.08
208 8754 963.61
208 7952 2417.95
208 4743 332.54
209 4199 76.01
209 210 27.79
209 2365 314.34
210 209 27.79
211 6989 54.19
211 2545 189.08
211 6744 155.73
212 1707 27.83
213 1975 138.13
214 2234 76.11
214 5127 84.33
214 4815 76.32
215 216 40.22
215 2594 5.41
215 2593 71.18
216 215 40.22
216 1726 153.83
216 1727 91.87
217 218 89.78
217 3830 187.32
217 3429 81.64
218 217 89.78
219 743 45.30
220 7543 72.68
221 6231 106.72
221 727 36.08
221 3711 171.20
221 728 73.32
222 141 49.44
223 940 80.61
223 4704 84.25
223 2060 84.61
224 6171 123.33
225 226 44.73
225 6362 48.68
225 2634 46.28
226 225 44.73
228 229 41.58
228 712 209.52
228 4840 82.53
229 228 41.58
230 875 58.53
230 3231 150.00
230 121 91.84
231 3231 114.01
231 3448 70.69
231 3232 212.97
232 1386 76.25
232 7700 105.39
232 4767 105.80
233 3146 105.48
233 3146 105.48
233 8253 147.75
234 7339 152.62
234 8677 39.46
234 2899 51.10
234 8424 36.32
235 2115 86.10
236 237 52.90
237 236 52.90
237 3522 60.40
237 1010 51.89
238 5791 27.98
238 3454 265.87
238 5790 262.20
238 8110 264.48
239 8316 91.42
240 6490 47.49
240 1054 49.25
240 1054 49.25
241 5881 47.26
241 1237 159.74
241 5944 186.30
242 627 99.06
243 3634 102.76
244 8751 9.98
244 4581 105.96
244 3106 98.19
245 965 101.44
245 246 91.34
246 7740 43.27
246 8969 51.11
246 245 91.34
247 5556 47.76
247 248 65.76
247 8165 132.41
248 247 65.76
248 8902 20.46
249 248 6.37
249 5604 41.75
250 4314 46.82
250 251 217.18
250 7916 96.67
251 2871 116.11
251 250 217.18
251 7918 92.64
252 253 22.29
252 468 87.76
252 6239 76.38
253 252 22.29
254 3548 87.70
254 7774 227.86
254 3547 194.90
255 3451 160.46
255 256 24.35
255 5793 45.60
255 4968 82.16
256 255 24.35
257 1330 84.76
258 4714 56.23
259 3597 131.82
259 1930 135.01
259 1738 78.12
260 5117 59.99
261 4693 155.19
261 3755 50.77
261 7994 103.54
262 5664 69.47
263 8355 130.30
264 2170 37.88
265 7183 60.84
265 4769 105.12
265 7178 196.14
265 7180 75.72
266 7377 28.86
266 348 45.34
266 349 27.47
267 7467 25.12
267 7466 19.75
267 349 101.95
268 269 93.24
268 7395 172.58
268 6026 75.16
269 268 93.24
269 6026 74.23
269 3913 386.62
270 5557 173.26
271 6026 501.18
271 8165 447.66
271 8397 322.52
272 273 137.80
272 3278 125.75
273 272 137.80
273 6749 340.62
273 2450 107.53
274 77 325.82
274 5173 53.65
274 4139 38.86
275 4754 151.13
276 163 17.49
276 6963 47.18
277 6581 120.86
277 3559 268.63
277 1863 36.80
278 6498 278.19
278 8536 328.09
278 7218 143.65
279 3126 42.98
280 3326 25.45
281 5164 41.68
281 3527 214.34
281 5163 75.83
282 575 190.11
283 8957 41.78
283 1721 164.53
283 4485 46.74
284 285 49.47
285 3197 53.31
285 284 49.47
285 6684 138.22
285 3196 95.88
286 6171 240.32
287 5046 93.85
287 4944 53.76
287 5073 239.78
288 5135 83.98
288 7433 158.22
288 2475 250.42
289 5539 53.20
290 178 355.46
291 2193 29.39
292 1705 49.30
293 657 21.73
293 58 194.98
293 658 94.85
294 295 49.48
295 294 49.48
295 2891 178.63
295 2890 153.77
296 297 68.26
296 8303 92.93
296 5778 97.20
296 7667 110.59
297 298 55.16
297 296 68.26
298 297 55.16
298 299 74.07
298 3181 117.30
298 6061 90.48
299 298 74.07
299 1958 91.96
299 300 77.63
300 7668 101.80
300 322 94.16
300 8174 156.45
300 299 77.63
301 1534 55.78
302 173 115.69
302 777 154.58
302 7930 211.88
303 89 103.95
303 304 164.22
303 852 80.64
304 303 164.22
304 3016 67.95
304 853 84.01
305 4898 82.24
305 7548 166.44
305 6046 153.71
306 307 11.03
306 1345 308.35
306 7548 156.72
307 306 11.03
307 308 71.81
307 50 84.98
308 307 71.81
308 309 226.86
308 2752 271.92
309 308 226.86
309 1132 34.98
309 2753 269.47
310 311 288.47
310 1163 291.94
310 1162 307.98
311 1163 59.25
311 2718 170.15
311 310 288.47
311 2717 76.13
312 313 82.84
312 2385 36.77
312 315 90.10
312 2386 83.86
313 312 82.84
314 315 194.69
314 5139 77.22
314 5138 77.11
315 314 194.69
315 5155 74.32
315 6165 72.66
315 312 90.10
316 8580 16.31
316 8205 41.53
316 4860 200.23
317 4464 30.40
317 4925 50.91
317 4463 227.57
318 5622 120.76
318 1954 70.19
318 8111 99.82
318 319 94.84
319 1956 76.49
319 318 94.84
319 320 62.78
320 321 109.80
320 1099 112.47
320 319 62.78
320 1098 76.31
321 322 26.08
321 320 109.80
321 1957 75.72
322 321 26.08
322 300 94.16
322 485 188.66
323 324 69.78
323 5358 84.23
323 1845 97.92
324 325 50.29
324 323 69.78
324 1845 68.94
325 326 137.63
325 324 50.29
325 4173 37.00
326 142 186.21
326 325 137.63
326 4322 76.53
326 5237 48.61
327 142 142.77
327 6642 46.43
327 4179 92.40
328 2968 111.70
328 4343 67.90
328 329 67.75
329 328 67.75
329 1745 52.93
329 7941 56.72
329 330 125.47
330 331 121.07
330 1746 50.83
330 7942 70.53
331 1747 51.02
331 6635 126.73
332 333 57.06
332 524 88.56
332 3102 58.28
333 332 57.06
334 7708 99.11
334 6796 132.58
334 8281 44.26
334 4057 123.93
335 336 134.97
335 2336 463.65
336 335 134.97
336 1499 107.02
336 337 97.21
337 3662 104.88
337 338 121.35
337 336 97.21
338 4004 55.69
338 4005 49.27
338 339 62.65
338 337 121.35
339 7667 38.11
339 338 62.65
340 1770 35.76
340 1769 78.86
340 8079 164.27
341 1067 55.33
341 5862 102.91
341 8079 43.16
342 335 104.50
342 1702 104.36
342 1499 133.45
342 8993 206.19
342 5580 144.29
343 8993 11.77
343 1498 94.54
343 344 123.21
344 343 123.21
344 345 122.46
344 1496 92.06
344 9099 95.35
345 344 122.46
345 8992 71.27
346 5807 14.64
346 3506 82.49
346 347 65.54
347 346 65.54
348 266 45.34
348 2732 67.75
348 7375 220.80
349 7377 28.02
349 267 101.95
349 266 27.47
350 351 94.24
350 8299 4.28
350 958 81.27
351 352 97.78
351 350 94.24
351 1511 79.65
352 351 97.78
352 3820 38.10
352 6159 77.93
353 354 337.71
354 9092 7.94
354 353 337.71
354 4155 85.48
355 4156 86.54
355 356 45.78
355 9092 87.52
356 357 35.32
356 355 45.78
356 5150 82.09
357 356 35.32
357 358 61.40
357 3127 112.52
358 4157 117.30
358 359 80.87
358 357 61.40
359 360 82.78
359 358 80.87
359 4158 117.34
360 5151 84.40
360 359 82.78
360 4159 118.04
360 361 85.01
361 4016 122.45
361 4015 87.96
361 362 64.57
361 360 85.01
362 4160 101.18
362 363 145.73
362 361 64.57
363 4162 160.43
363 5152 98.84
363 362 145.73
364 365 167.31
365 364 167.31
365 1895 71.67
365 1115 79.73
366 6193 95.21
366 1798 226.53
366 6100 86.43
367 3950 46.33
367 1291 84.28
367 6810 203.75
368 4286 244.75
369 2678 60.20
369 4286 240.85
369 7945 344.75
370 7616 66.34
370 1652 83.01
371 1907 94.33
371 1260 53.49
372 7275 505.52
372 2965 91.48
372 373 66.53
373 6098 92.37
373 374 41.36
373 372 66.53
373 5553 102.64
374 5419 103.07
374 375 38.42
374 373 41.36
375 374 38.42
375 376 82.12
375 5554 102.26
375 5898 91.92
376 5391 102.63
376 377 30.65
376 375 82.12
377 5381 88.72
377 378 53.29
377 376 30.65
378 7454 8.11
378 5555 103.79
378 377 53.29
379 380 60.54
379 4096 305.98
379 7124 86.54
380 6889 61.71
380 379 60.54
381 6889 70.23
381 5587 93.73
381 382 89.54
381 2993 83.58
382 4304 93.87
382 383 91.51
382 381 89.54
383 384 92.02
383 5105 94.39
383 382 91.51
384 383 92.02
384 5588 94.38
384 385 61.09
385 8739 8.38
385 5028 94.15
385 384 61.09
386 390 38.10
386 389 35.58
386 4356 123.69
387 4357 75.50
387 390 54.06
387 5849 211.42
388 389 71.71
388 3933 112.79
388 3932 75.46
389 386 35.58
389 388 71.71
389 4356 120.64
390 391 215.08
390 386 38.10
390 387 54.06
390 5137 74.68
391 390 215.08
391 5849 67.46
391 6057 75.17
392 393 129.60
392 6710 106.68
392 6712 88.28
393 392 129.60
394 395 170.56
394 5911 56.32
394 6661 180.67
395 396 36.86
395 394 170.56
395 6661 40.64
396 397 7.14
396 395 36.86
396 8575 66.83
397 8573 167.19
397 396 7.14
397 2535 112.10
398 8572 84.27
398 8569 62.69
399 400 154.35
399 4732 97.33
399 2154 101.56
400 401 173.41
400 4733 95.41
400 2155 82.75
401 2840 30.37
401 1788 46.84
402 403 22.01
403 402 22.01
403 1252 86.14
403 1908 109.87
404 178 86.21
404 3545 949.99
404 1876 435.06
405 5094 309.36
405 8808 143.62
405 1091 220.22
406 6532 85.35
406 5969 92.41
406 407 249.35
407 408 157.54
407 2036 86.73
407 2035 94.56
408 409 100.07
408 407 157.54
408 6214 85.67
408 5970 87.42
409 410 132.00
409 408 100.07
409 6511 82.92
409 5971 84.92
410 411 134.37
410 409 132.00
410 6113 83.16
410 5972 85.07
411 410 134.37
411 6113 147.66
411 4601 83.64
412 413 173.78
412 2111 83.06
413 7882 265.80
413 5973 82.45
414 415 74.90
414 4329 58.64
414 7861 224.16
415 414 74.90
415 7510 33.56
416 6051 267.81
416 417 80.88
416 7510 119.73
416 1985 160.47
416 1177 244.14
417 418 75.96
417 416 80.88
417 1986 30.58
417 1985 138.26
418 417 75.96
418 6807 211.93
418 8361 60.73
419 420 75.61
419 2765 211.65
419 3567 269.31
419 6805 80.81
420 421 77.47
420 419 75.61
420 2766 212.41
420 6453 132.51
421 2767 212.44
421 420 77.47
421 7410 136.56
421 422 76.47
422 423 76.67
422 421 76.47
422 2768 212.74
422 6735 146.43
423 424 74.51
423 422 76.67
423 5999 102.47
423 8241 204.69
424 9069 71.89
424 423 74.51
424 8837 11.80
425 426 106.85
425 1078 39.40
425 1079 42.11
426 427 73.31
426 425 106.85
426 6522 38.74
426 1089 41.72
427 426 73.31
428 1739 36.53
428 1738 40.47
428 1909 244.56
429 6166 40.26
429 3858 128.25
430 431 249.98
430 4908 101.44
430 1185 92.80
431 432 125.92
431 1187 71.29
431 430 249.98
431 4748 76.47
432 431 125.92
432 1188 72.18
432 3106 65.14
433 1851 44.76
433 434 78.05
433 6638 86.61
434 1852 46.54
434 433 78.05
434 3467 197.96
435 6854 49.28
435 6856 42.14
435 6842 96.71
436 6848 181.62
436 6866 18.21
436 3588 125.45
437 438 50.75
437 7735 50.72
437 4739 132.68
438 437 50.75
438 439 48.37
438 1749 135.95
439 438 48.37
439 1884 136.38
439 440 50.83
440 2830 137.03
440 441 48.65
440 439 50.83
441 2255 137.54
441 9063 47.91
441 440 48.65
442 4118 135.72
442 443 49.34
442 9062 49.19
443 442 49.34
443 444 49.74
443 5386 134.95
443 5253 138.61
444 445 49.86
444 8841 132.74
445 9075 48.92
445 2267 135.71
445 8844 133.02
446 3801 120.89
447 448 175.41
447 3744 174.19
447 794 130.25
448 449 183.25
448 447 175.41
448 6295 48.98
449 450 212.12
449 448 183.25
449 2975 196.65
450 451 92.92
450 449 212.12
450 778 175.42
451 450 92.92
451 1372 71.02
451 1538 13.20
451 452 107.60
452 1669 229.89
452 453 126.79
452 451 107.60
453 7967 121.97
453 452 126.79
453 454 160.82
453 1539 184.34
454 455 54.81
454 5182 120.39
454 453 160.82
454 1540 252.63
455 456 96.91
455 454 54.81
455 3283 173.49
456 455 96.91
456 5104 257.23
456 457 29.08
457 5183 120.36
457 456 29.08
457 458 145.79
458 5103 344.26
458 459 138.29
458 457 145.79
459 2651 212.78
459 460 117.16
459 2652 124.09
459 458 138.29
460 4696 213.51
460 459 117.16
460 461 119.14
460 4876 232.69
461 4695 213.60
461 5169 234.59
461 5786 298.03
461 462 102.02
461 460 119.14
462 6545 233.72
462 7648 79.08
462 461 102.02
463 464 309.58
463 7648 22.30
464 4189 139.29
464 463 309.58
464 7348 41.49
465 7347 35.18
465 7348 51.02
465 5884 125.09
466 4476 19.71
466 8357 41.76
467 468 76.28
467 487 121.81
467 6239 89.74
468 252 87.76
468 3487 27.41
468 467 76.28
469 470 86.59
469 3992 102.31
470 4705 41.84
470 469 86.59
470 2062 187.45
470 471 249.62
471 472 81.56
471 470 249.62
472 473 179.52
473 8377 63.85
473 3314 62.48
474 9048 110.73
474 2373 109.36
474 3087 50.01
475 845 56.66
475 476 134.78
475 844 90.16
475 5720 253.73
476 4741 68.44
476 477 123.28
476 475 134.78
477 476 123.28
477 4741 155.33
477 2373 241.16
478 3851 56.53
478 479 120.61
478 8540 135.13
479 478 120.61
480 5835 81.17
480 3887 210.73
480 3886 199.57
481 482 57.71
481 4151 148.49
481 5620 471.80
482 481 57.71
482 483 32.91
482 886 72.35
483 482 32.91
483 484 205.16
483 887 124.23
484 2619 102.25
484 483 205.16
484 4152 114.17
485 6979 74.09
485 486 100.20
485 322 188.66
486 8174 31.43
486 485 100.20
486 6980 74.94
487 488 118.49
487 1194 102.70
487 467 121.81
488 487 118.49
489 490 72.25
489 3104 103.62
489 3103 125.22
490 489 72.25
490 5600 59.17
491 490 42.83
491 2630 406.88
491 5081 117.37
492 5579 40.04
493 4946 84.73
493 6808 125.38
493 494 167.07
494 5540 116.90
494 5539 104.69
494 493 167.07
495 5303 9.13
495 49 182.52
495 496 47.61
496 6027 297.22
496 497 299.88
497 6027 42.65
497 3516 42.15
497 498 300.03
498 499 98.74
498 3905 43.33
498 3517 40.95
499 498 98.74
499 500 222.82
499 3904 106.67
500 501 221.27
500 499 222.82
500 856 296.42
501 3600 44.80
501 500 221.27
501 3599 177.78
502 3792 51.69
502 934 48.80
502 506 157.63
503 504 43.97
503 3793 51.24
503 935 50.17
503 502 148.84
504 6811 31.25
504 503 43.97
504 3414 81.57
505 4547 1032.24
505 6135 306.28
505 1206 61.59
506 3791 54.69
506 3410 98.73
506 6747 187.09
507 508 180.73
507 2334 124.09
508 3427 50.77
508 509 80.74
508 507 180.73
509 3349 75.27
509 3348 97.55
509 510 103.50
509 508 80.74
510 511 102.71
510 509 103.50
510 4232 76.01
511 510 102.71
511 512 49.18
512 5830 73.22
512 8275 30.66
512 8275 30.66
512 511 49.18
513 514 26.47
513 8275 47.91
514 515 81.93
514 513 26.47
515 514 81.93
515 5975 151.90
515 516 85.50
516 515 85.50
516 3746 151.11
516 3745 50.37
517 1337 61.26
517 3160 183.54
517 5297 112.51
517 518 159.39
518 519 15.18
518 4548 71.37
519 520 154.31
519 4085 47.04
520 521 258.89
520 1697 112.35
520 1696 57.45
521 2217 112.60
521 2216 103.96
521 522 296.22
522 521 296.22
522 5298 142.95
522 3161 102.16
523 522 94.79
523 2334 26.74
523 3161 94.86
524 332 88.56
524 6793 500.26
524 4980 145.61
525 5120 46.52
525 5119 51.60
525 526 83.06
526 7977 28.71
526 525 83.06
526 2081 260.14
527 7977 155.69
527 541 82.87
527 1674 46.18
528 8104 260.88
528 527 294.05
528 5583 82.63
528 3871 47.53
529 530 25.01
529 8104 43.05
530 531 70.97
530 2412 86.40
531 530 70.97
532 533 83.45
532 2611 41.53
532 2919 65.14
533 534 66.59
533 532 83.45
533 2920 47.17
533 4870 79.08
534 533 66.59
535 8108 97.44
535 5781 209.39
535 6628 183.19
535 536 88.93
536 3554 103.67
536 537 61.86
536 535 88.93
537 4773 64.39
537 538 20.23
537 536 61.86
538 537 20.23
539 3232 36.00
540 875 35.47
541 527 82.87
541 5570 131.13
542 1756 143.68
542 6880 84.18
543 544 103.53
543 2926 72.31
543 2925 84.44
544 6125 91.93
544 545 79.81
544 543 103.53
544 2880 155.27
545 4045 93.91
545 2881 139.13
545 544 79.81
546 1087 85.84
547 546 91.41
547 548 52.93
548 551 145.09
548 4565 85.43
548 547 52.93
549 550 103.71
549 4186 190.48
549 1949 140.18
550 1951 38.76
550 549 103.71
550 1950 71.06
551 548 145.09
552 553 91.02
553 554 46.51
553 552 91.02
553 3330 83.03
553 1974 79.34
554 553 46.51
554 1270 101.38
554 4409 230.99
555 556 111.60
556 6465 27.29
556 555 111.60
556 6464 431.76
557 558 19.83
557 5983 168.69
557 2564 72.34
558 557 19.83
558 2561 89.54
558 559 199.05
559 5458 68.82
559 560 291.65
559 558 199.05
559 5459 70.72
560 559 291.65
561 5582 68.64
561 562 143.89
561 5829 167.66
561 565 70.28
562 561 143.89
562 5829 212.19
562 3917 227.96
563 564 131.97
563 4724 79.07
563 4723 39.88
564 563 131.97
564 6516 39.26
564 6517 40.00
564 565 126.76
565 8811 17.24
565 5296 150.02
565 561 70.28
565 564 126.76
566 2004 49.54
566 2003 56.20
567 8233 15.86
567 568 95.20
567 4482 120.86
568 569 99.44
568 567 95.20
568 5467 145.27
569 568 99.44
569 4505 76.62
570 571 201.88
570 6023 85.04
570 5011 79.74
571 6304 172.00
571 570 201.88
571 5012 113.81
571 572 341.07
572 5014 122.14
572 571 341.07
572 5013 267.31
573 5369 70.87
573 574 253.20
573 1191 61.78
574 1191 241.64
574 997 74.51
575 3184 76.42
575 3183 77.97
575 576 243.19
575 282 190.11
576 4531 17.56
576 4530 139.95
577 578 71.63
577 5010 153.67
577 5487 87.86
578 5009 87.11
578 577 71.63
578 5010 137.56
579 5045 26.02
579 580 95.15
579 5636 88.13
580 7777 65.05
580 579 95.15
580 776 342.03
581 582 44.31
581 776 323.61
581 5420 131.04
581 7777 137.91
582 5965 124.01
582 583 48.07
582 581 44.31
582 5662 326.24
583 582 48.07
583 5662 330.05
583 584 169.32
584 996 370.02
584 3186 121.04
584 585 32.30
584 583 169.32
585 586 36.06
585 4122 121.17
585 584 32.30
586 587 72.96
586 995 218.08
586 585 36.06
587 586 72.96
587 994 109.19
588 993 84.23
588 8033 42.62
589 5702 25.37
589 4337 50.18
589 590 203.99
590 589 203.99
591 3147 106.66
591 3147 106.66
591 169 88.14
592 2030 46.15
592 2029 44.37
592 9108 91.62
593 594 128.39
593 1309 27.00
593 1308 65.50
594 593 128.39
594 6739 199.93
594 6733 69.82
595 609 125.87
595 7232 159.63
596 7213 41.56
596 608 129.92
597 7172 49.41
597 607 130.40
598 606 127.72
598 278 164.80
599 913 188.57
599 7702 257.52
600 7239 89.29
600 7248 276.64
600 4407 106.96
601 602 80.89
601 799 59.61
601 800 74.24
602 601 80.89
603 604 192.06
603 6313 235.05
603 6330 97.48
604 4131 175.01
604 603 192.06
604 6083 58.21
605 5288 43.37
606 6498 96.37
606 598 127.72
606 607 241.73
607 608 209.86
607 597 130.40
607 606 241.73
607 8761 95.88
608 8867 48.94
608 609 237.59
608 607 209.86
608 596 129.92
609 3073 96.33
609 608 237.59
609 595 125.87
610 611 86.21
610 2097 323.81
610 4265 101.83
610 4264 67.13
611 4265 91.44
611 612 81.77
611 610 86.21
612 4266 115.92
612 613 80.14
612 611 81.77
613 614 10.46
613 3546 139.37
613 612 80.14
614 613 10.46
614 615 73.62
614 999 78.70
615 8127 54.64
615 614 73.62
615 3223 166.18
616 617 48.58
617 616 48.58
617 1279 68.13
617 6065 122.21
618 1427 97.39
618 619 46.10
618 1428 88.27
619 620 52.53
