1000 1164
358 357 61.40
359 360 82.78
359 358 80.87
360 359 82.78
360 361 85.01
361 362 64.57
361 360 85.01
362 363 145.73
362 361 64.57
363 362 145.73
364 365 167.31
365 364 167.31
372 373 66.53
373 374 41.36
373 372 66.53
374 375 38.42
374 373 41.36
375 374 38.42
375 376 82.12
376 377 30.65
376 375 82.12
377 378 53.29
377 376 30.65
378 377 53.29
379 380 60.54
380 379 60.54
381 382 89.54
382 383 91.51
382 381 89.54
383 384 92.02
383 382 91.51
384 383 92.02
384 385 61.09
385 384 61.09
386 390 38.10
386 389 35.58
387 390 54.06
388 389 71.71
389 386 35.58
389 388 71.71
390 391 215.08
390 386 38.10
390 387 54.06
391 390 215.08
392 393 129.60
393 392 129.60
394 395 170.56
395 396 36.86
395 394 170.56
396 397 7.14
396 395 36.86
397 396 7.14
399 400 154.35
400 401 173.41
402 403 22.01
403 402 22.01
404 178 86.21
406 407 249.35
407 408 157.54
408 409 100.07
408 407 157.54
409 410 132.00
409 408 100.07
410 411 134.37
410 409 132.00
411 410 134.37
412 413 173.78
414 415 74.90
415 414 74.90
416 417 80.88
417 418 75.96
417 416 80.88
418 417 75.96
419 420 75.61
420 421 77.47
420 419 75.61
421 420 77.47
421 422 76.47
422 423 76.67
422 421 76.47
423 424 74.51
423 422 76.67
424 423 74.51
425 426 106.85
426 427 73.31
426 425 106.85
427 426 73.31
430 431 249.98
431 432 125.92
431 430 249.98
432 431 125.92
433 434 78.05
434 433 78.05
437 438 50.75
438 437 50.75
438 439 48.37
439 438 48.37
439 440 50.83
440 441 48.65
440 439 50.83
441 440 48.65
442 443 49.34
443 442 49.34
443 444 49.74
444 445 49.86
447 448 175.41
447 794 130.25
448 449 183.25
448 447 175.41
449 450 212.12
449 448 183.25
450 451 92.92
450 449 212.12
450 778 175.42
451 450 92.92
451 452 107.60
452 453 126.79
452 451 107.60
453 452 126.79
453 454 160.82
454 455 54.81
454 453 160.82
455 456 96.91
455 454 54.81
456 455 96.91
456 457 29.08
457 456 29.08
457 458 145.79
458 459 138.29
458 457 145.79
459 460 117.16
459 458 138.29
460 459 117.16
460 461 119.14
461 462 102.02
461 460 119.14
462 461 102.02
463 464 309.58
464 463 309.58
467 468 76.28
467 487 121.81
468 252 87.76
468 467 76.28
469 470 86.59
470 469 86.59
470 471 249.62
471 472 81.56
471 470 249.62
472 473 179.52
475 845 56.66
475 476 134.78
475 844 90.16
476 477 123.28
476 475 134.78
477 476 123.28
478 479 120.61
479 478 120.61
481 482 57.71
482 481 57.71
482 483 32.91
482 886 72.35
483 482 32.91
483 484 205.16
483 887 124.23
484 483 205.16
485 486 100.20
485 322 188.66
486 485 100.20
487 488 118.49
487 467 121.81
488 487 118.49
489 490 72.25
490 489 72.25
491 490 42.83
493 494 167.07
494 493 167.07
495 49 182.52
495 496 47.61
496 497 299.88
497 498 300.03
498 499 98.74
499 498 98.74
499 500 222.82
500 501 221.27
500 499 222.82
500 856 296.42
501 500 221.27
502 934 48.80
502 506 157.63
503 504 43.97
503 935 50.17
503 502 148.84
504 503 43.97
507 508 180.73
508 509 80.74
508 507 180.73
509 510 103.50
509 508 80.74
510 511 102.71
510 509 103.50
511 510 102.71
511 512 49.18
512 511 49.18
513 514 26.47
514 515 81.93
514 513 26.47
515 514 81.93
515 516 85.50
516 515 85.50
517 518 159.39
518 519 15.18
519 520 154.31
520 521 258.89
521 522 296.22
522 521 296.22
523 522 94.79
524 332 88.56
525 526 83.06
526 525 83.06
527 541 82.87
528 527 294.05
529 530 25.01
530 531 70.97
531 530 70.97
532 533 83.45
533 534 66.59
533 532 83.45
534 533 66.59
535 536 88.93
536 537 61.86
536 535 88.93
537 538 20.23
537 536 61.86
538 537 20.23
540 875 35.47
541 527 82.87
543 544 103.53
544 545 79.81
544 543 103.53
545 544 79.81
547 546 91.41
547 548 52.93
548 551 145.09
548 547 52.93
549 550 103.71
550 549 103.71
551 548 145.09
552 553 91.02
553 554 46.51
553 552 91.02
554 553 46.51
555 556 111.60
556 555 111.60
557 558 19.83
558 557 19.83
558 559 199.05
559 560 291.65
559 558 199.05
560 559 291.65
561 562 143.89
561 565 70.28
562 561 143.89
563 564 131.97
564 563 131.97
564 565 126.76
565 561 70.28
565 564 126.76
567 568 95.20
568 569 99.44
568 567 95.20
569 568 99.44
570 571 201.88
571 570 201.88
571 572 341.07
572 571 341.07
573 574 253.20
574 997 74.51
575 576 243.19
575 282 190.11
577 578 71.63
578 577 71.63
579 580 95.15
580 579 95.15
580 776 342.03
581 582 44.31
581 776 323.61
582 583 48.07
582 581 44.31
583 582 48.07
583 584 169.32
584 996 370.02
584 585 32.30
584 583 169.32
585 586 36.06
585 584 32.30
586 587 72.96
586 995 218.08
586 585 36.06
587 586 72.96
587 994 109.19
588 993 84.23
589 590 203.99
590 589 203.99
591 169 88.14
593 594 128.39
594 593 128.39
595 609 125.87
596 608 129.92
597 607 130.40
598 606 127.72
598 278 164.80
599 913 188.57
601 602 80.89
601 799 59.61
601 800 74.24
602 601 80.89
603 604 192.06
604 603 192.06
606 598 127.72
606 607 241.73
607 608 209.86
607 597 130.40
607 606 241.73
608 609 237.59
608 607 209.86
608 596 129.92
609 608 237.59
609 595 125.87
610 611 86.21
611 612 81.77
611 610 86.21
612 613 80.14
612 611 81.77
613 614 10.46
613 612 80.14
614 613 10.46
614 615 73.62
614 999 78.70
615 614 73.62
616 617 48.58
617 616 48.58
618 619 46.10
619 620 52.53
619 618 46.10
620 619 52.53
621 622 80.77
622 621 80.77
623 822 18.50
623 624 190.46
623 823 107.43
624 623 190.46
625 626 122.42
625 745 151.41
626 745 61.25
626 744 18.80
626 625 122.42
627 242 99.06
628 629 177.73
628 979 38.39
628 980 40.98
629 630 109.80
629 628 177.73
630 629 109.80
630 631 90.25
631 630 90.25
632 633 52.96
633 634 75.69
633 632 52.96
634 633 75.69
634 635 199.52
634 784 70.89
635 786 118.35
635 636 164.98
635 634 199.52
636 637 85.77
636 635 164.98
637 638 94.45
637 636 85.77
638 639 95.19
638 637 94.45
639 638 95.19
640 641 136.46
641 640 136.46
642 643 111.42
643 644 104.95
643 642 111.42
644 643 104.95
647 648 45.30
648 647 45.30
649 650 115.89
650 651 367.38
650 649 115.89
651 652 97.06
651 650 367.38
652 651 97.06
653 654 90.42
654 653 90.42
656 657 49.92
656 59 82.60
657 293 21.73
657 656 49.92
658 293 94.85
658 57 278.66
659 660 101.30
660 661 66.60
660 659 101.30
661 660 66.60
661 662 213.64
662 663 22.36
662 661 213.64
663 664 79.79
663 662 22.36
664 663 79.79
665 666 77.04
666 667 77.40
666 665 77.04
667 668 156.06
667 666 77.40
668 667 156.06
669 670 64.30
670 671 108.13
672 673 64.97
673 672 64.97
675 674 99.38
676 842 35.34
676 677 139.13
676 843 175.83
677 678 39.09
677 676 139.13
678 679 67.33
678 677 39.09
679 678 67.33
680 681 35.93
681 680 35.93
682 683 91.67
683 682 91.67
686 685 71.94
687 952 208.76
689 141 339.99
690 691 84.89
691 690 84.89
691 692 67.91
692 693 60.53
692 691 67.91
693 692 60.53
693 694 91.78
694 695 115.78
694 693 91.78
695 696 86.07
695 694 115.78
696 697 141.80
697 698 79.38
698 699 110.28
699 700 84.42
700 701 42.88
701 702 37.21
702 703 43.22
702 701 37.21
702 774 128.97
703 702 43.22
703 704 120.19
704 705 79.27
704 703 120.19
705 704 79.27
706 707 103.18
707 706 103.18
708 709 18.61
709 708 18.61
709 710 92.72
710 711 45.89
710 709 92.72
711 710 45.89
711 863 173.21
711 712 79.76
712 711 79.76
712 713 82.51
713 714 83.14
714 715 82.96
715 716 82.37
716 717 80.98
717 718 43.09
718 719 40.55
719 720 116.13
723 724 167.21
724 723 167.21
724 725 92.50
725 724 92.50
726 727 57.84
727 726 57.84
727 221 36.08
728 729 116.41
728 221 73.32
729 730 75.49
729 728 116.41
730 115 31.63
730 729 75.49
731 732 133.62
732 733 147.21
732 731 133.62
733 734 104.18
733 732 147.21
734 733 104.18
734 735 118.58
735 736 21.13
735 734 118.58
736 735 21.13
738 772 131.57
741 798 193.16
742 743 54.16
743 219 45.30
743 744 36.47
743 742 54.16
744 626 18.80
744 743 36.47
745 626 61.25
745 625 151.41
745 746 47.77
746 747 49.71
746 745 47.77
747 748 48.13
747 746 49.71
748 749 57.16
748 747 48.13
749 748 57.16
749 750 81.93
750 749 81.93
751 752 51.13
752 753 45.91
753 752 45.91
753 754 50.81
754 753 50.81
755 756 81.08
756 755 81.08
759 760 210.96
760 761 133.45
760 759 210.96
761 762 247.01
761 760 133.45
762 763 174.05
762 761 247.01
763 762 174.05
764 765 104.45
765 764 104.45
765 125 90.38
766 767 252.91
768 769 308.92
769 770 142.34
769 768 308.92
770 769 142.34
770 69 97.28
772 773 102.74
772 738 131.57
773 774 68.62
773 772 102.74
774 773 68.62
776 581 323.61
776 580 342.03
777 778 139.26
777 302 154.58
778 777 139.26
778 450 175.42
779 780 53.12
780 779 53.12
781 782 162.81
782 168 40.54
782 783 199.44
782 781 162.81
783 782 199.44
784 785 206.16
784 634 70.89
784 864 207.93
785 786 46.44
785 784 206.16
786 787 129.91
786 785 46.44
786 635 118.35
787 786 129.91
788 789 106.81
788 152 159.96
789 790 126.27
789 788 106.81
790 791 80.11
790 789 126.27
791 792 45.70
791 790 80.11
792 791 45.70
792 793 82.47
793 794 106.63
793 792 82.47
794 793 106.63
794 447 130.25
797 93 208.84
797 894 86.74
798 741 193.16
799 601 59.61
800 601 74.24
802 803 40.59
803 802 40.59
806 805 29.89
807 806 104.07
807 808 187.60
808 807 187.60
809 810 99.16
810 809 99.16
811 812 79.11
811 5 95.31
812 811 79.11
812 813 201.22
813 814 79.52
813 812 201.22
814 815 85.24
814 813 79.52
815 814 85.24
815 816 93.54
816 817 292.38
816 815 93.54
817 816 292.38
817 818 93.20
818 819 69.69
818 817 93.20
819 820 161.08
819 818 69.69
820 821 83.00
820 819 161.08
821 822 80.72
821 820 83.00
822 623 18.50
822 821 80.72
823 824 107.42
823 623 107.43
824 823 107.42
825 826 116.37
825 830 77.71
826 827 97.28
826 825 116.37
827 828 50.66
827 826 97.28
828 827 50.66
828 889 102.39
829 830 140.99
830 829 140.99
830 825 77.71
831 832 131.93
832 833 95.23
832 831 131.93
833 832 95.23
834 835 182.95
834 964 160.06
835 834 182.95
838 839 19.77
839 838 19.77
841 870 182.72
842 676 35.34
843 844 66.48
843 676 175.83
844 475 90.16
844 843 66.48
845 475 56.66
847 848 48.44
848 849 44.95
848 847 48.44
849 848 44.95
849 850 86.26
850 849 86.26
851 852 69.56
852 853 164.78
852 851 69.56
852 303 80.64
853 854 74.53
853 852 164.78
853 304 84.01
854 855 85.14
854 853 74.53
854 906 175.92
855 854 85.14
855 907 160.13
856 857 110.19
856 500 296.42
857 856 110.19
858 859 133.99
859 860 41.11
860 861 47.48
861 862 86.74
862 711 248.30
863 711 173.21
864 784 207.93
865 62 97.00
868 869 114.07
869 868 114.07
870 871 87.88
870 841 182.72
871 870 87.88
872 873 156.66
873 874 276.67
873 872 156.66
874 873 276.67
875 230 58.53
875 876 273.78
875 540 35.47
876 877 89.60
876 875 273.78
877 878 85.64
877 876 89.60
878 111 135.05
878 877 85.64
879 111 77.28
881 882 37.41
882 881 37.41
882 883 68.41
883 882 68.41
884 885 256.88
885 886 186.24
885 884 256.88
886 482 72.35
886 885 186.24
887 888 180.88
887 483 124.23
888 887 180.88
889 828 102.39
890 891 172.53
894 95 97.25
894 797 86.74
895 896 127.44
895 95 125.00
896 895 127.44
896 897 408.54
897 898 363.78
897 896 408.54
898 897 363.78
899 903 249.30
900 902 33.55
900 903 94.27
901 900 551.40
902 901 518.47
903 899 249.30
903 902 88.17
904 905 165.09
905 906 75.60
905 904 165.09
906 907 86.21
906 905 75.60
906 854 175.92
907 855 160.13
907 906 86.21
908 201 38.95
908 909 124.40
909 910 125.00
909 908 124.40
910 911 144.02
910 909 125.00
911 910 144.02
911 912 90.73
912 911 90.73
914 915 93.53
915 920 286.43
915 916 90.82
915 914 93.53
916 917 93.69
916 915 90.82
917 918 91.20
917 916 93.69
918 919 144.30
918 917 91.20
919 918 144.30
920 921 241.64
921 922 139.82
922 921 139.82
923 924 88.02
924 923 88.02
924 965 91.58
924 925 78.19
925 926 79.47
925 924 78.19
926 927 69.66
926 925 79.47
927 928 70.28
927 926 69.66
928 929 120.16
928 927 70.28
929 928 120.16
930 931 36.94
931 930 36.94
933 934 109.12
934 935 148.53
934 933 109.12
934 502 48.80
935 934 148.53
935 503 50.17
937 947 25.31
938 939 352.87
939 940 83.19
939 938 352.87
940 223 80.61
940 941 202.60
940 939 83.19
941 942 94.41
941 940 202.60
942 943 88.04
942 941 94.41
943 944 111.13
943 942 88.04
944 945 92.07
944 943 111.13
945 946 44.78
945 944 92.07
946 947 147.72
946 945 44.78
947 937 25.31
947 946 147.72
948 949 101.94
949 948 101.94
950 951 107.20
951 950 107.20
952 687 208.76
955 956 84.32
956 957 101.66
958 350 81.27
961 962 143.70
962 961 143.70
963 964 192.81
964 85 84.28
964 834 160.06
964 963 192.81
965 245 101.44
965 924 91.58
966 967 115.58
967 966 115.58
968 969 82.41
969 970 108.37
969 968 82.41
970 971 6.47
970 969 108.37
971 972 282.62
971 970 6.47
972 971 282.62
974 86 182.15
974 975 102.79
975 974 102.79
976 977 151.78
977 976 151.78
978 979 45.84
979 628 38.39
979 978 45.84
980 628 40.98
980 981 73.16
981 980 73.16
982 981 50.17
983 982 46.31
984 985 393.19
985 984 393.19
988 989 129.75
989 988 129.75
990 991 53.58
991 990 53.58
993 994 63.42
993 588 84.23
994 995 148.12
994 993 63.42
994 587 109.19
995 996 136.97
995 994 148.12
995 586 218.08
996 995 136.97
996 584 370.02
996 997 82.85
997 996 82.85
997 998 41.77
997 574 74.51
998 997 41.77
999 160 201.49
999 614 78.70
